epoch,train_lr_10,train_lr_5,train_lr_1,train_lr_0.1,train_lr_0.01,train_lr_0.001,train_lr_0.0001,train_lr_0.00001,val_lr_1,val_lr_0.1,val_lr_0.01,val_lr_0.001,val_lr_0.0001,val_lr_0.00001
1,2.306298,2.305373,2.311453,2.290365,2.22911,2.304604,2.303878,2.304946,2.315642,2.303628,2.023975,2.30242,2.303818,2.304937
2,2.283211,2.361805,2.313703,2.303681,1.962314,2.30087,2.303759,2.304929,2.305451,2.303117,1.841131,2.299185,2.303703,2.30492
3,2.515288,2.325234,2.313775,2.303688,1.76395,2.296994,2.303647,2.304911,2.304256,2.304308,1.686358,2.294173,2.303594,2.304903
4,2.287528,2.301478,2.313409,2.304015,1.631637,2.290009,2.303541,2.304895,2.308051,2.303639,1.541632,2.283957,2.30349,2.304886
5,2.460672,2.314809,2.312826,2.303927,1.531129,2.272145,2.30344,2.304878,2.334656,2.303082,1.504412,2.25316,2.303393,2.304869
6,2.569841,2.303815,2.313265,2.303663,1.470779,2.20571,2.303345,2.304861,2.3137,2.303272,1.417423,2.139776,2.303299,2.304853
7,2.499758,2.309958,2.313231,2.303564,1.409628,2.079285,2.303252,2.304845,2.309474,2.303359,1.383395,2.031966,2.303209,2.304836
8,2.502019,2.335948,2.315549,2.303735,1.366758,2.022641,2.303164,2.304828,2.309256,2.302873,1.367638,2.007899,2.303124,2.30482
9,2.587513,2.318027,2.312975,2.303745,1.324939,1.998169,2.30308,2.304812,2.310669,2.303558,1.301305,1.977632,2.303041,2.304804
10,2.457208,2.315884,2.312572,2.303665,1.289251,1.977557,2.302997,2.304796,2.306465,2.303904,1.276632,1.960147,2.30296,2.304787
11,2.403229,2.323032,2.313991,2.303804,1.262538,1.954343,2.302917,2.30478,2.311476,2.303243,1.275165,1.94262,2.302882,2.304771
12,2.441538,2.314345,2.314558,2.303924,1.239041,1.934205,2.30284,2.304764,2.314826,2.304545,1.276634,1.914142,2.302805,2.304756
13,2.439561,3.320423,2.313315,2.303869,1.212927,1.90921,2.302764,2.304748,2.316543,2.303582,1.20652,1.897202,2.30273,2.30474
14,2.419782,2.382057,2.314544,2.303547,1.191342,1.882806,2.302689,2.304732,2.308936,2.303725,1.227642,1.858463,2.302656,2.304724
15,2.314626,2.446205,2.312859,2.303742,1.175586,1.850466,2.302614,2.304717,2.310985,2.304529,1.235521,1.832553,2.30258,2.304708
16,2.54098,2.545421,2.312722,2.304035,1.15451,1.820303,2.30254,2.304701,2.313206,2.303278,1.180042,1.807841,2.302506,2.304693
17,2.426146,2.344827,2.313399,2.303899,1.13614,1.786265,2.302467,2.304686,2.308826,2.303481,1.176407,1.823541,2.302431,2.304678
18,2.351841,2.350486,2.313762,2.303945,1.113544,1.758861,2.302392,2.30467,2.316726,2.304009,1.163309,1.727561,2.302355,2.304663
19,18.453838,2.822378,2.312808,2.303674,1.098671,1.725428,2.302316,2.304655,2.307694,2.30398,1.14325,1.694047,2.302278,2.304647
20,21.587242,2.862927,2.314643,2.303807,1.090853,1.692923,2.302237,2.30464,2.306004,2.303327,1.197281,1.677523,2.302196,2.304632
21,5.895906,2.76008,2.312643,2.303673,1.076533,1.669725,2.302155,2.304625,2.311491,2.303193,1.160315,1.651749,2.302111,2.304617
22,6.195771,2.457498,2.313348,2.303641,1.057481,1.642505,2.302068,2.30461,2.318921,2.303988,1.136223,1.624738,2.302019,2.304603
23,7.015497,2.449688,2.31273,2.303841,1.048579,1.625396,2.301974,2.304596,2.322478,2.30347,1.100938,1.650792,2.30192,2.304588
24,25.145029,46.398746,2.313647,2.303735,1.032924,1.609315,2.301877,2.304581,2.313088,2.303179,1.124338,1.599161,2.301823,2.304573
25,6.082247,14983.75098,2.315255,2.303764,1.027516,1.585731,2.301782,2.304567,2.312213,2.303525,1.117485,1.589291,2.301729,2.304559
26,4.786431,14579960,2.314016,2.303691,1.023987,1.57514,2.30169,2.304552,2.311745,2.303979,1.105012,1.579535,2.301637,2.304545
27,5.093921,33.40152,2.313895,2.303546,1.009337,1.557113,2.301601,2.304538,2.314501,2.303129,1.093118,1.546804,2.301547,2.30453
28,5.260998,310740864,2.313763,2.303681,0.998882,1.538716,2.301512,2.304524,2.310175,2.302996,1.120816,1.526957,2.301456,2.304517
29,4.673571,15.163892,2.315561,2.30382,0.977659,1.523689,2.301422,2.30451,2.311652,2.303182,1.088854,1.534954,2.301366,2.304502
30,5.651251,8.567665,2.313282,2.303488,0.974381,1.516262,2.301333,2.304496,2.31756,2.303639,1.110638,1.516848,2.301274,2.304488
31,5.188484,8.158835,2.315695,2.303796,0.968544,1.501666,2.301242,2.304482,2.320481,2.303344,1.153786,1.526593,2.301181,2.304474
32,4.449006,7.998788,2.314625,2.303633,0.95914,1.484522,2.301151,2.304468,2.316204,2.30295,1.100849,1.506094,2.301084,2.304461
33,13.329577,7.11126,2.313965,2.303584,0.950217,1.475585,2.301056,2.304454,2.316146,2.304247,1.081058,1.480201,2.300985,2.304447
34,3.45638E+12,8340023296,2.314009,2.303644,0.946118,1.471856,2.300958,2.304441,2.311911,2.30459,1.061698,1.460862,2.300885,2.304434
35,,4.43072E+11,2.312467,2.30355,0.937086,1.458576,2.300858,2.304427,2.309727,2.304542,1.080104,1.471977,2.300781,2.30442
36,,56215528,2.312603,2.303703,0.928097,1.447698,2.300755,2.304414,2.312107,2.303757,1.140217,1.481341,2.300675,2.304407
37,,3.31639E+11,2.313188,2.303706,0.920954,1.439276,2.300648,2.304401,2.317671,2.303736,1.10434,1.457537,2.300565,2.304393
38,,1.36325E+22,2.313193,2.303864,0.918542,1.426336,2.300539,2.304387,2.310748,2.303433,1.054964,1.427246,2.300452,2.30438
39,,2.15791E+17,2.312007,2.304036,0.913557,1.423241,2.300425,2.304374,2.318642,2.303593,1.161866,1.432997,2.300333,2.304367
40,,15.819516,2.312974,2.303322,0.895365,1.40983,2.300307,2.304361,2.317143,2.304942,1.045386,1.414129,2.300209,2.304354
41,,17.040607,2.313496,2.304012,0.897523,1.404322,2.300181,2.304348,2.309109,2.302984,1.091278,1.421747,2.300079,2.304341
42,,15.758139,2.315904,2.303827,0.889902,1.393703,2.300052,2.304336,2.311877,2.302891,1.037114,1.407403,2.299942,2.304328
43,,18.065081,2.312954,2.303842,0.890234,1.385731,2.299914,2.304323,2.308517,2.30364,1.083092,1.415808,2.299799,2.304316
44,,14.551003,2.313831,2.303682,0.881189,1.376587,2.299771,2.30431,2.314703,2.303259,1.088431,1.401645,2.299647,2.304303
45,,2.10751E+28,2.311911,2.303684,0.875268,1.369632,2.299619,2.304298,2.315945,2.30345,1.067271,1.392708,2.299486,2.304291
46,,,2.312503,2.303835,0.868108,1.35972,2.299458,2.304285,2.306432,2.304068,1.030428,1.366144,2.299318,2.304278
47,,,2.312104,2.303882,0.857187,1.35679,2.29929,2.304273,2.318615,2.303218,1.056093,1.389494,2.299138,2.304266
48,,,2.314792,2.303686,0.865373,1.349948,2.299112,2.30426,2.311675,2.303162,1.0414,1.356687,2.298951,2.304254
49,,,2.313144,2.303933,0.850598,1.341411,2.298921,2.304248,2.312536,2.303725,1.056344,1.349754,2.298749,2.304241
50,,,2.31453,2.303712,0.848662,1.330807,2.29872,2.304236,2.306784,2.303728,1.055635,1.353879,2.298536,2.304229
51,,,2.313959,2.30361,0.852422,1.32911,2.298505,2.304224,2.318611,2.303853,1.089927,1.341182,2.298307,2.304217
52,,,2.314315,2.303561,0.842933,1.316673,2.298277,2.304212,2.312794,2.304014,1.058358,1.336697,2.298067,2.304205
53,,,2.31486,2.303866,0.848272,1.309901,2.298033,2.3042,2.307972,2.303535,1.024908,1.331733,2.297805,2.304194
